rot0	rot1	rot2	rot3
4.91208	4.17396	4.92386	4.23253
4.52541	3.81268	4.55236	3.86165
4.7242	3.96209	4.73602	3.94874
4.94539	4.09905	4.95062	4.08131
5.14944	4.21087	5.15155	4.1981
5.32463	4.29033	5.32658	4.2874
5.48705	4.3546	5.48747	4.35408
5.62776	4.39332	5.62796	4.39749
5.76205	4.42174	5.76051	4.42347
5.87957	4.42759	5.87812	4.43222
5.99534	4.42655	5.99257	4.42751
6.0981	4.40551	6.09588	4.4098
6.20262	4.3808	6.1993	4.38108
6.29672	4.33844	6.29406	4.34262
6.39474	4.29533	6.39108	4.29499
6.48366	4.23681	6.48058	4.24083
6.57727	4.18055	6.57321	4.17949
6.66151	4.11149	6.65807	4.11527
6.74957	4.04852	6.74527	4.04661
6.82606	3.97648	6.82244	3.97994
6.90331	3.91594	6.89892	3.91309
6.96433	3.852	6.96068	3.85498
7.00436	3.828	7.03163	3.78263
6.86179	3.62863	6.81831	3.68385
6.79806	3.60065	6.82323	3.63823
6.84741	3.66246	6.83223	3.64651
6.85448	3.74009	6.83378	3.7086
6.80153	3.83233	6.79148	3.81763
6.70467	3.97462	6.70328	3.96367
6.54871	4.15556	6.55199	4.15524
6.51961	4.53841	6.50808	4.48158
6.28927	4.83422	6.30483	4.85175
6.30464	5.46739	6.32173	5.49127
6.40186	6.3484	6.41127	6.36425
5.947	6.80871	5.94726	6.80475
5.32795	7.06624	5.32699	7.05504
4.91979	7.53655	4.9193	7.52978
4.38219	7.69309	4.38686	7.68991
3.93358	7.78951	3.9364	7.79562
3.64818	8.00656	3.65165	8.00901
3.38144	8.00157	3.39288	8.0843
3.19111	8.00355	3.18104	7.9746
3.0698	7.92382	3.05715	7.88515
3.12307	7.68163	3.12222	7.65399
3.25479	7.39722	3.25857	7.39912
3.37071	7.16331	3.3767	7.16626
3.48336	7.03229	3.50309	6.96767
3.95314	7.47099	3.93292	7.5652
4.0035	7.29226	4.00326	7.29664
4.0196	7.04437	4.02171	7.02008
4.03476	6.82333	4.03602	6.80697
4.04361	6.63829	4.04739	6.62628
4.05906	6.48833	4.06143	6.48519
4.07138	6.36494	4.07433	6.36066
4.09077	6.26598	4.0916	6.26503
4.10695	6.18272	4.10861	6.1792
4.13008	6.11634	4.13029	6.11543
4.14994	6.05905	4.15139	6.05612
4.1766	6.01402	4.17691	6.01359
4.1999	5.97375	4.20143	5.97156
4.22976	5.94252	4.23018	5.9425
4.25599	5.91286	4.25763	5.91122
4.2887	5.88992	4.28921	5.89018
4.31762	5.86622	4.31933	5.86495
4.35298	5.84759	4.35359	5.84801
4.38449	5.8265	4.3863	5.82549
4.42243	5.80924	4.42322	5.80977
4.45651	5.78822	4.4585	5.7875
4.49716	5.77038	4.49808	5.77087
4.53387	5.74781	4.53604	5.74721
4.57721	5.7279	4.57832	5.72835
4.61654	5.70268	4.61888	5.70218
4.66251	5.67995	4.66379	5.68025
4.70427	5.6515	4.70674	5.65103
4.75262	5.62571	4.75397	5.62576
4.79646	5.59397	4.79898	5.59351
4.84657	5.56527	4.84804	5.56505
4.89182	5.53066	4.89442	5.53017
4.94303	5.49966	4.94453	5.49918
4.98883	5.46304	4.99139	5.46245
5.04011	5.43066	5.04147	5.4298
5.08537	5.39295	5.08777	5.3924
5.1355	5.36043	5.13677	5.35932
5.17903	5.32297	5.1812	5.32236
5.22687	5.29155	5.22786	5.29015
5.26743	5.25558	5.26932	5.25505
5.23528	5.14029	5.25892	5.18321
5.16495	4.98676	5.11533	4.99366
4.88333	4.72792	4.92318	4.67495
4.44905	4.22507	4.44943	4.20754
4.27362	4.00434	4.26611	3.99925
4.40431	4.08827	4.37707	4.05528
4.35583	3.99552	4.35893	4.0076
4.62512	4.20441	4.63494	4.22387
4.89195	4.4138	4.89873	4.42731
5.11411	4.58471	5.11711	4.59252
5.30368	4.73105	5.3026	4.73181
5.45295	4.8441	5.45149	4.84439
5.57873	4.94245	5.57641	4.94038
5.67329	5.0164	5.67236	5.01692
5.75258	5.08369	5.75096	5.08241
5.80755	5.13238	5.80697	5.13371
5.85309	5.17913	5.8514	5.17824
5.87937	5.2109	5.8786	5.2125
5.90069	5.24378	5.89879	5.24301
5.90669	5.26411	5.90578	5.26584
5.91113	5.28756	5.90914	5.28698
5.90163	5.30187	5.90071	5.30372
5.89225	5.32153	5.89028	5.32103
5.87363	5.33078	5.87279	5.33258
5.85865	5.34455	5.85673	5.34417
5.8359	5.34899	5.83508	5.35089
5.81782	5.35875	5.81596	5.35855
5.79288	5.3601	5.79217	5.36195
5.77339	5.36729	5.77167	5.36706
5.74768	5.36669	5.74713	5.36837
5.72789	5.37225	5.72636	5.37195
5.70236	5.37049	5.70201	5.37203
5.68305	5.37507	5.68167	5.3747
5.65829	5.37272	5.65808	5.37407
5.63993	5.37678	5.63873	5.37636
5.61632	5.37415	5.61629	5.37537
5.59922	5.37797	5.5982	5.37748
5.57697	5.37531	5.57713	5.37635
5.56133	5.37905	5.56048	5.37845
5.54059	5.37643	5.54087	5.37731
5.52646	5.38016	5.52574	5.37951
5.50726	5.37762	5.50771	5.37841
5.49466	5.38139	5.49409	5.38072
5.47703	5.37897	5.47758	5.37964
5.46594	5.38276	5.46547	5.38204
5.44984	5.3804	5.45047	5.38097
5.44023	5.38418	5.43982	5.38344
5.42557	5.38184	5.42625	5.38237
5.41734	5.38557	5.417	5.38483
5.40406	5.38324	5.40484	5.38372
5.39718	5.3869	5.39689	5.38615
5.38521	5.3845	5.38601	5.38494
5.37958	5.38803	5.37931	5.38733
5.3688	5.38555	5.36963	5.386
5.3643	5.38895	5.36407	5.38824
5.35467	5.38636	5.35549	5.38676
5.35126	5.38957	5.351	5.38888
5.34262	5.38683	5.34344	5.38726
5.34017	5.38986	5.33992	5.38924
5.35115	5.40478	5.31461	5.3696
5.30553	5.36552	5.35605	5.41351
5.32064	5.38347	5.32826	5.39048
5.32866	5.39463	5.31761	5.38367
5.32215	5.39099	5.31297	5.38186
5.3192	5.39065	5.31476	5.38617
5.31174	5.3853	5.3124	5.38575
5.31168	5.38702	5.31252	5.3877
5.43623	5.5105	5.17934	5.25814
5.26174	5.34039	5.35507	5.43152
5.3107	5.28121	5.31136	5.49736
5.24919	5.36113	5.37375	5.41918
5.26418	5.39476	5.3502	5.37631
5.34057	5.34461	5.26142	5.41475
5.24716	5.37288	5.24565	5.2758
5.19963	5.33331	5.25755	5.27763
5.19612	5.30613	5.28164	5.32377
