rot0	rot1	rot2	rot3
5.34861	5.36297	5.3266	5.33759
5.34239	5.35558	5.31926	5.33
5.34223	5.35454	5.31624	5.32688
5.33672	5.34805	5.31055	5.32107
5.33727	5.34798	5.30919	5.31975
5.33251	5.34247	5.30508	5.31567
5.33373	5.34329	5.30521	5.31595
5.32956	5.33868	5.30243	5.31333
5.33129	5.34031	5.30375	5.31497
5.32755	5.33638	5.302	5.31352
5.32961	5.33862	5.30417	5.31614
3.41336	7.24796	3.39036	7.22822
-4.27523	14.9761	-4.29562	14.8858
-3.19745	13.9984	-3.21834	13.7007
3.70426	6.5995	3.98275	6.78388
4.42887	5.75121	4.66156	6.20834
4.60613	5.86175	4.71603	5.90998
4.7769	5.85897	4.79019	5.69256
4.93129	5.74202	4.9122	5.57269
5.07032	5.57357	5.0601	5.47179
5.22005	5.40705	5.21993	5.36188
39.2144	-28.5962	39.2169	-28.615
0.0895047	9.94522	-0.00473659	11.2
5.41681	6.17333	5.46841	4.20614
5.61664	5.20498	5.58289	4.86999
5.55835	4.94609	5.5948	5.17725
5.52969	4.96535	5.56306	5.23847
5.51221	5.05679	5.50927	5.21573
5.49553	5.14344	5.46746	5.20178
5.46212	5.19323	5.43498	5.21228
5.42952	5.23024	5.41234	5.24309
5.30036	5.34596	5.29428	5.3679
1.60143	9.04813	1.59947	9.07126
-10.8081	21.5218	-10.7998	21.4001
-1.15041	12.0255	-1.14006	11.5903
5.03887	5.27647	4.85314	5.70784
5.2254	5.07893	5.07274	5.48438
5.3176	5.19313	5.24867	5.16315
5.43145	5.15538	5.41349	4.99957
5.54295	5.02522	5.56124	4.91882
5.66281	4.89206	5.69705	4.85419
5.77633	4.77305	5.81192	4.77633
5.88883	4.68246	5.91679	4.69345
5.98332	4.60108	6.00569	4.61116
6.06918	4.53906	6.08736	4.53958
6.13427	4.47994	6.15279	4.4795
6.19119	4.43982	6.2094	4.43288
6.22911	4.40276	6.24838	4.3982
6.26057	4.38549	6.27856	4.3754
6.27482	4.37019	6.29245	4.36329
6.28438	4.37331	6.2996	4.36118
6.27871	4.37623	6.29289	4.36806
6.25614	4.40989	6.26759	4.39722
6.20823	4.45381	6.21857	4.44527
6.16757	4.50432	6.17512	4.49173
6.1236	4.54262	6.12998	4.53579
6.08745	4.58685	6.09107	4.57796
6.04754	4.62054	6.05017	4.61704
6.01508	4.66059	6.01517	4.65473
5.97835	4.69074	5.97787	4.68965
5.94876	4.72732	5.94612	4.72399
5.91453	4.75462	5.91174	4.75579
5.88717	4.78851	5.88256	4.78757
5.85497	4.81364	5.85049	4.81686
5.82925	4.84556	5.82325	4.84678
5.7986	4.86913	5.79305	4.87407
5.7743	4.89949	5.76745	4.9024
5.74485	4.92191	5.73868	4.92813
5.72169	4.95107	5.7144	4.95519
5.69325	4.97264	5.68685	4.97961
5.67106	5.00081	5.66368	5.0056
5.64357	5.02158	5.63722	5.02886
5.62229	5.04885	5.61509	5.05389
5.59571	5.06883	5.5897	5.07597
5.57537	5.09516	5.56859	5.10004
5.5498	5.11431	5.54425	5.12095
5.53045	5.13961	5.52419	5.14401
5.50595	5.1578	5.50104	5.16367
5.48773	5.18195	5.48217	5.18562
5.46446	5.19901	5.46027	5.20393
5.44753	5.22181	5.44271	5.22462
5.42559	5.23762	5.4222	5.24148
5.4101	5.25893	5.40611	5.26076
5.38969	5.27326	5.38711	5.27602
5.37575	5.29294	5.37256	5.29383
5.45992	5.20275	5.45818	5.20446
8.61124	2.05516	8.60872	2.05921
10.9346	-0.334737	10.9281	-0.204382
12.3443	-1.77229	12.3514	-1.67797
6.76227	3.56089	6.75016	3.56572
6.0437	4.42569	6.04367	4.11872
5.99641	4.40456	5.99467	4.328
5.93676	4.44553	5.93842	4.51121
5.85775	4.55764	5.85357	4.63935
5.76858	4.71222	5.75346	4.75655
5.65457	4.86819	5.63587	4.88491
5.52965	5.03281	5.51167	5.03147
5.387	5.19108	5.37417	5.18846
5.24316	5.35761	5.2329	5.35397
5.09126	5.51793	5.08389	5.51665
4.94621	5.68139	4.93849	5.67943
4.80054	5.8327	4.79433	5.83048
4.66868	5.97886	4.66191	5.97621
4.54288	6.10708	4.53817	6.10313
4.43662	6.2238	4.43175	6.22071
4.34094	6.31941	4.33851	6.31459
4.2678	6.4003	4.26521	6.39752
4.20656	6.45984	4.20642	6.45493
4.16784	6.50445	4.16741	6.5024
4.13976	6.52975	4.14162	6.52539
4.13199	6.54219	4.13335	6.54121
4.13586	6.53479	4.13936	6.53142
4.19194	6.48259	4.19477	6.48298
4.25112	6.41865	4.25585	6.41821
4.31184	6.36168	4.31584	6.36432
4.36271	6.30679	4.36875	6.30628
4.41544	6.2581	4.42072	6.25959
4.4592	6.2096	4.46623	6.20917
4.50566	6.16694	4.51163	6.16897
4.54389	6.12369	4.55127	6.12441
4.58551	6.0861	4.59158	6.08892
4.61949	6.04713	4.62674	6.04868
4.65742	6.01348	4.66325	6.01656
4.68823	5.97771	4.69514	5.97954
4.7234	5.94703	4.72888	5.94994
4.75187	5.91355	4.75841	5.91525
4.78507	5.88501	4.7902	5.88742
4.81186	5.8532	4.81801	5.85445
4.84361	5.82625	4.84838	5.82787
4.86918	5.79561	4.87496	5.79618
4.89992	5.76983	4.90429	5.77049
4.92458	5.74003	4.92995	5.73981
4.95449	5.71521	4.95846	5.71481
4.97838	5.68614	4.98328	5.68499
5.00755	5.66216	5.01107	5.66069
5.03069	5.63375	5.03508	5.63177
5.05911	5.6106	5.06208	5.60816
5.08142	5.58296	5.08524	5.58025
5.10893	5.56081	5.11133	5.5575
5.13027	5.53404	5.13349	5.53072
5.1567	5.51302	5.15851	5.50906
-6.67553	17.3397	-6.67296	17.336
3.39513	7.50604	3.40522	7.03124
4.38476	6.08069	4.30806	6.55246
4.41166	6.15984	4.38109	6.38344
4.46103	6.22334	4.4487	6.19344
4.41865	6.29734	4.41725	6.20202
5.09151	5.60265	5.10521	5.52604
5.98653	4.67554	6.00567	4.66654
16.1085	-5.4654	16.1305	-5.44897
15.874	-5.39019	15.8801	-5.03302
5.86334	4.85484	5.89488	4.71108
5.45957	5.54398	5.50449	4.82991
5.45389	5.27057	5.47377	5.12803
5.44523	5.14026	5.4636	5.28689
5.43573	5.14651	5.43566	5.30861
5.43374	5.20134	5.41004	5.29009
5.42066	5.24162	5.38911	5.27362
5.40801	5.27046	5.37878	5.27632
5.38797	5.28141	5.36778	5.28638
5.37514	5.29451	5.36008	5.30271
5.35905	5.30143	5.34766	5.31451
5.35048	5.31492	5.33844	5.32793
5.33727	5.32261	5.32602	5.33636
5.33033	5.33578	5.318	5.34745
5.31809	5.34247	5.30739	5.35429
5.31206	5.35428	5.30116	5.36414
5.30095	5.3596	5.29211	5.36968
5.2962	5.37006	5.28732	5.37824
5.2864	5.37411	5.27957	5.38238
5.28294	5.38332	5.27601	5.38963
5.27438	5.38617	5.26948	5.39251
5.27212	5.39409	5.26711	5.39855
5.26474	5.39575	5.26171	5.40021
5.26363	5.40248	5.26042	5.40516
5.25732	5.40301	5.25603	5.40578
5.25726	5.40863	5.2557	5.40973
5.25199	5.4081	5.25226	5.40939
5.25289	5.41272	5.25279	5.4125
5.24855	5.41127	5.25014	5.41132
5.25031	5.41501	5.25142	5.41369
5.2468	5.4127	5.24949	5.41181
5.24936	5.41568	5.2514	5.41355
5.24658	5.41269	5.25005	5.41105
5.24979	5.41501	5.25251	5.41227
5.24764	5.41139	5.25165	5.40931
5.25142	5.4132	5.25455	5.41008
5.24978	5.40908	5.25413	5.40676
5.25409	5.41039	5.25743	5.40711
5.25305	5.40571	5.25751	5.4033
5.25783	5.40656	5.26118	5.40332
5.25707	5.40167	5.26138	5.39933
4.805	5.8594	4.80814	5.85629
5.2576	5.4104	5.26237	5.38916
7.67672	2.97797	7.67716	2.99686
5.64343	4.96376	5.64267	5.06891
14.2639	-3.55234	14.2772	-3.65933
12.0969	-1.59179	12.0872	-1.27559
7.49526	2.83407	7.58733	2.92044
6.75016	3.65236	6.8386	3.55788
5.64756	4.77113	5.67585	4.78726
5.54965	4.90624	5.54364	4.94666
5.44958	5.04051	5.42091	5.10828
5.3268	5.19648	5.29394	5.2472
5.20069	5.36448	5.1689	5.3862
-15.0828	25.6678	-15.1084	25.6737
-2.21375	13.2116	-2.20207	12.3986
4.47409	5.25909	4.72309	5.95443
4.6826	5.06052	4.9332	5.72176
4.00642	6.17842	4.12817	6.21923
4.89713	5.55175	4.91358	5.31674
4.99581	5.47795	4.98426	5.32878
10.7949	-0.306698	10.7974	-0.390109
25.4756	-15.1177	25.4621	-14.9765
6.4468	3.79345	6.40672	4.25909
5.14736	5.84315	5.16639	4.82972
5.06278	5.65261	5.0499	5.29546
4.96561	5.53127	4.97403	5.63961
4.88706	5.599	4.88628	5.79779
4.81581	5.7356	4.79025	5.86035
4.75155	5.87092	4.70984	5.91296
4.68095	5.97019	4.64369	5.96894
4.62069	6.04629	4.59384	6.03531
4.56497	6.09954	4.55006	6.09087
4.52692	6.14424	4.51696	6.14188
4.49513	6.1752	4.48882	6.17363
4.47912	6.19996	4.47237	6.20031
4.4665	6.2117	4.46177	6.20975
4.4674	6.21765	4.46254	6.21711
4.46992	6.21213	4.46775	6.20964
4.49323	6.19385	4.49121	6.19337
4.5304	6.15221	4.53085	6.15056
4.57238	6.11423	4.57256	6.11519
4.60659	6.07528	4.6089	6.0745
-12.3683	23.0544	-12.3665	23.0548
4.34481	6.68395	4.38665	5.9499
4.3879	5.96182	4.30196	6.72135
4.37234	6.21407	4.35507	6.4224
4.40009	6.34635	4.38516	6.24041
4.42686	6.32577	4.42459	6.18355
4.46502	6.25047	4.47826	6.17443
4.51181	6.16505	4.53436	6.1456
4.57883	6.08892	4.59805	6.09849
4.65273	6.01087	4.66663	6.02271
4.74134	5.93084	4.74851	5.93985
4.83223	5.83765	4.83822	5.84129
4.93601	5.73916	4.94057	5.74139
5.04096	5.6285	5.04725	5.62943
5.1572	5.51668	5.16272	5.51738
5.27157	5.39649	5.27815	5.39687
5.39338	5.28012	5.39843	5.27917
5.50864	5.15914	5.51414	5.15844
5.62666	5.04714	5.63041	5.04428
5.73343	4.93429	5.73746	4.93267
5.83876	4.83534	5.84097	4.83101
5.92902	4.73861	5.93142	4.73651
6.01472	4.65951	6.01536	4.65431
6.08304	4.58433	6.08381	4.5823
6.14528	4.52884	6.14439	4.52342
6.18947	4.4774	6.18872	4.476
6.22762	4.44607	6.22534	4.44112
6.24849	4.41765	6.24648	4.41729
6.26454	4.40835	6.26121	4.40444
6.26505	4.40007	6.26218	4.40108
6.26267	4.40919	6.25867	4.40658
6.23757	4.42646	6.23418	4.42886
6.19554	4.47531	6.19123	4.47378
6.14858	4.51474	6.14509	4.51749
6.1098	4.55982	6.10548	4.55971
6.06751	4.59416	6.06408	4.59919
6.03302	4.63499	6.02879	4.63715
5.99457	4.66602	5.99131	4.67221
5.96355	4.70363	5.95953	4.70652
5.92816	4.73189	5.92523	4.73823
5.89981	4.76674	5.89619	4.76985
5.86686	4.79279	5.86436	4.79901
5.84063	4.82549	5.83744	4.8286
5.80953	4.8498	5.80748	4.8557
5.78503	4.88082	5.78224	4.88373
5.75541	4.9038	5.75374	4.90925
5.73224	4.93346	5.72978	4.93602
5.70389	4.95536	5.70251	4.96019
5.6818	4.98387	5.67961	4.98594
5.65449	5.00482	5.65337	5.00899
5.63344	5.03226	5.63145	5.03382
5.60713	5.05234	5.60618	5.05579
5.58703	5.07876	5.5852	5.07977
5.56171	5.09794	5.56091	5.10067
5.54262	5.12327	5.54093	5.12372
5.51834	5.14145	5.51773	5.14351
5.50034	5.16562	5.49878	5.16555
5.47724	5.1827	5.47674	5.18412
5.46045	5.20557	5.45905	5.20507
5.4386	5.22141	5.4383	5.22227
5.4232	5.24287	5.42192	5.24197
5.40278	5.25734	5.40262	5.25773
5.38882	5.27723	5.3877	5.276
5.36997	5.2902	5.36995	5.29016
5.35756	5.30845	5.35663	5.30698
5.34033	5.3198	5.34054	5.31948
5.32962	5.33629	5.3289	5.33468
5.3141	5.34598	5.31453	5.34544
5.30513	5.3607	5.30458	5.35897
5.29133	5.36869	5.29193	5.36799
5.28409	5.38162	5.2837	5.37987
5.27204	5.38789	5.27281	5.38713
5.2665	5.39907	5.26629	5.39737
5.25613	5.40367	5.25709	5.4029
5.25227	5.41315	5.25222	5.41153
5.24352	5.41616	5.24461	5.41547
5.24123	5.42406	5.24129	5.42255
5.234	5.42557	5.23518	5.42496
5.23314	5.43201	5.23328	5.43066
5.2273	5.43216	5.22856	5.43168
5.22776	5.43728	5.22795	5.43607
5.2232	5.4362	5.22448	5.43582
5.22483	5.44012	5.22503	5.43907
5.22136	5.43795	5.22264	5.43772
5.22402	5.44085	5.22424	5.43994
5.22148	5.43774	5.22276	5.43767
5.22503	5.43978	5.22519	5.43902
5.2233	5.43589	5.22453	5.43594
5.22757	5.43722	5.22768	5.43656
5.22648	5.43267	5.22763	5.43285
5.23135	5.4334	5.23139	5.43286
5.231	5.42813	5.23209	5.42842
5.23662	5.42815	5.23656	5.42767
5.23667	5.42245	5.23767	5.42283
6.84143	3.82334	6.8413	3.82293
9.66326	0.964222	9.65991	1.03178
17.7399	-7.12213	17.7329	-7.02255
8.16245	2.36513	8.13385	2.65468
5.89269	5.04782	5.90263	4.49052
5.75967	5.02746	5.76257	4.7725
5.62965	4.99303	5.64211	5.06582
5.49365	5.09134	5.5009	5.23508
5.36387	5.26029	5.35209	5.35391
5.22258	5.42988	5.20101	5.46714
5.08193	5.59179	5.05998	5.59614
4.93657	5.73217	4.92262	5.72905
4.80394	5.86596	4.7953	5.86456
4.67736	5.98429	4.6731	5.9856
4.56965	6.09586	4.56496	6.09926
4.47103	6.19006	4.46736	6.19189
4.39296	6.27323	4.38792	6.2756
4.32495	6.33717	4.32153	6.33665
4.27783	6.38855	4.27384	6.38941
4.24033	6.4217	4.23853	6.41965
4.22246	6.44345	4.22021	6.4434
4.21204	6.44954	4.212	6.44652
4.22143	6.44389	4.22083	6.44326
4.26526	6.3957	4.26671	6.39232
4.3237	6.3404	4.32444	6.34071
4.37322	6.28653	4.37591	6.2842
4.42484	6.23923	4.42686	6.23822
4.46771	6.19206	4.47163	6.18835
4.51339	6.15052	4.51652	6.14866
4.55098	6.10817	4.55572	6.10482
4.59201	6.07135	4.59569	6.06998
4.62552	6.03301	4.63057	6.03055
4.66293	6.00003	4.6668	5.99926
4.69335	5.96483	4.69844	5.96306
4.72805	5.93479	4.73186	5.93438
4.75608	5.90192	4.76101	5.90068
4.78882	5.87406	4.79239	5.87386
4.81511	5.8429	4.81973	5.84203
4.84635	5.81666	4.84963	5.81655
4.8713	5.78682	4.87557	5.78616
4.9014	5.76186	4.90429	5.76171
4.92539	5.73291	4.92927	5.73234
4.95451	5.70905	4.95701	5.70875
4.97767	5.6809	4.98107	5.68029
5.00597	5.65794	5.008	5.65742
5.02827	5.63056	5.03121	5.62993
5.05575	5.60851	5.05734	5.60773
5.07713	5.58201	5.07959	5.58123
5.10371	5.56093	5.10483	5.55987
5.12407	5.5353	5.1261	5.53447
5.14956	5.51539	5.15025	5.5141
5.16876	5.49084	5.17034	5.48994
5.19297	5.47228	5.19322	5.47079
5.21081	5.449	5.21196	5.44807
5.23361	5.43187	5.23345	5.43026
5.24986	5.4101	5.25061	5.40922
5.27098	5.39468	5.27048	5.393
5.28555	5.37451	5.28594	5.37373
5.30488	5.36092	5.30403	5.35927
5.31754	5.34256	5.31762	5.34195
5.33499	5.33089	5.33386	5.32932
5.34572	5.31439	5.34552	5.31403
5.36113	5.30473	5.35978	5.30334
5.36985	5.2902	5.36946	5.29008
5.38329	5.28259	5.38177	5.28131
5.38998	5.27	5.38945	5.27016
5.40144	5.26434	5.39984	5.26333
5.40623	5.25366	5.4056	5.25408
5.41578	5.24995	5.41408	5.24913
5.41872	5.24105	5.41804	5.24173
5.42646	5.23916	5.42476	5.23855
5.42766	5.23196	5.42701	5.23291
5.43378	5.2317	5.43214	5.2313
5.43345	5.22606	5.43285	5.22719
5.43809	5.22732	5.4365	5.22703
5.43634	5.22306	5.43584	5.22432
5.43967	5.2256	5.43821	5.22547
5.43674	5.22252	5.43636	5.22392
5.43897	5.22622	5.43761	5.22616
5.43502	5.22417	5.43473	5.22561
5.43633	5.22877	5.43509	5.22876
5.43152	5.2276	5.43138	5.22907
5.43206	5.23298	5.43095	5.23298
5.42659	5.23247	5.42658	5.23394
5.42651	5.23846	5.42554	5.23844
5.42053	5.23848	5.42066	5.23991
5.42005	5.2449	5.41919	5.24484
5.41367	5.24534	5.4139	5.24666
5.41265	5.25228	5.41189	5.25217
5.40589	5.25312	5.40621	5.25435
5.40477	5.26014	5.4041	5.25995
5.39798	5.26104	5.3984	5.26218
5.39687	5.26804	5.39628	5.26776
5.39012	5.26891	5.3906	5.26995
5.38909	5.27584	5.38855	5.27551
5.3824	5.27664	5.38294	5.27759
5.38145	5.28348	5.38097	5.28307
5.37491	5.28419	5.37547	5.28501
5.37409	5.29088	5.37362	5.29038
5.3677	5.29141	5.36829	5.29218
5.36703	5.29792	5.3666	5.29738
5.36083	5.29831	5.36146	5.29898
5.36038	5.30459	5.35997	5.30401
5.35436	5.30481	5.355	5.30541
5.35413	5.31088	5.35371	5.31024
5.34834	5.31086	5.34897	5.31142
5.34831	5.3167	5.34789	5.31604
5.34274	5.31648	5.34337	5.31697
5.34295	5.32208	5.34254	5.3214
5.33761	5.32161	5.33826	5.32209
5.33808	5.32697	5.33765	5.32627
5.33298	5.32626	5.3336	5.32672
5.3337	5.33135	5.33324	5.33067
5.32884	5.33044	5.32943	5.33087
5.32976	5.3353	5.32931	5.33461
5.3251	5.33415	5.32572	5.33458
5.32629	5.33875	5.32585	5.33806
5.32189	5.33737	5.32248	5.33782
5.32328	5.34178	5.3228	5.34112
